Document_id,Cleaned data,,Sentiment,
,Review 1,I loved every second of the visuals. It is a masterpiece with superb acting and music,,Positive
,Review 2,It is fast paced energetic and this particular genre I love and enjoy the most,,Positive
,Review 3,I find this film engaging from start to finish and the visual effects are wonderful and enjoyed every second of the film,,Positive
,Review 4,"I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.",,Positive
,Review 5,"Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece",,Positive
,Review 6,"I plan on seeing this again, just to understand a few bits a little more.",negative/ neutral,Neutral
,Review 7," I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",,positive
,Review 8,There is an interesting underlying premiss that has to resonate now as the planet appears to be fighting back against mankind's accumulated indifference ,,positive
,Review 9,"The production standards are typically high, with plenty of cute and dangerous beasties to suit and please all ages",,positive
,Review 10,There is also quite a fun series of scenes from Sir Ben Kingsley as a Liverpudlian poet (maybe his accent isn't the best!) before a stylishly crafted finale.,,positive
,Review 11,"To be honest, the story isn't the best - it's actually a little bit simple and predictable",,Negative
,Review 12,"his sister, Xialing(Zhang, a badass who deserves more screen time. Honestly, I'd be very surprised if she didn't, in future projects).",,positive
,Review 13,"He's joined by his friend Katy(Awkwafina, quirky, providing a lot of comic relief, something I'm told she's in general adept at), for what can best be described as a tense reunion, which allows the movie to really mine the family melodrama, one of the best elements it has.",,positive
,Review 14,"It’s almost a little disappointing when the film reaches its third act and gives way to CGI spectacle, not because the VFX are bad, but simply because they’re so commonplace in the MCU that what Shang-Chi really has going for it as a visual language in its set pieces that no other MCU movie can replicate",,Negagtive
,Review 15,"This is a hero that will keep coming back in the MCU, and it’s an issue that he doesn’t make much of an impact in his own movie",,negative
,Review 16,"The story isn't the best - it's actually a little bit simple and predictable. That said, however, the characterisations are engaging and the action scenes are well staged and paced.",,negative
,Review 17,"The action pays tribute to many different kinds of martial arts films, acknowledging that they are standing on the shoulders of giants",,positive
,Review 18,"The choreography is matched in skill by the cinematography. Not only are we seeing incredible fighting, the camera is dynamic, celebrating and highlighting how incredible it is",,positive
,Review 19,The special effects are excellent,,positive
,Review 20,"There are some issues with pacing, and certainly a chunk of this is composed almost entirely of flashbacks.",,negative
,Review 21,"This features relatively brief but highly concentrated, surprisingly graphic gore , as well as a little strong language",,neutral
,Review 22,"I recommend this to any fan of comic book movie adaptations, and people passionate about diversity hiring. 8/10.",,positive
,Review 23,very enjoyable,,positive
,Review 24,"Sweet superhero Sean/Shang-Chi (Simu Liu) has more humanity than almost any other hero, and he uses his martial arts only when pressed.",,positive
,Review 25,The opening sequence on a bus is rousing and entertaining.,,positive
,Review 26, It has a fight sequence I laughed through because of its ballet-like composition but satisfying because it sets up character and motivation.,,positive
,Review 27,"Shang-Chi is a Marvel for the whole family and especially the cinephiles curious how The Marvel Cinematic Universe can be so diverse, so entertaining, and so perfect a purveyor of our heroic fantasies.",,positive
,Review 28,WOWOWOWOWOW. This movie blew me away. I love it. A LOT.,,positive
,Review 29,my eyes couldn't handle the sheer awesomeness on the screen,,positive
,Review 30,"I walked out of the movie so hyped, silent-screaming under my mask as i walked to the car It's been a while since i walked out of a movie this happy. I have so much to say.",,positive
,Review 31,"I love the MCU (a lot), but there are a few things that are frequently lacking",,positive
,Review 32,"They always have awesome action scenes, but specifically fight scenes are usually pretty good, only great in a few movies like civil war and winter soldier.",negative/ neutral,positive
,Review 33, fight scenes in American movies pale in comparison to Asian cinema,,positive
,Review 34,Has to be up there with the John Wick series and Netflix's Daredevil as some of the best we've seen in America lately,,positive
,Review 35,"The fight scenes in this movie.... how do i describe it... amazing martial arts that's fast but clear,",,positive
,Review 36,"filmed in creative and astonishing ways without a hint of shaky cam or quick cuts, against stunningly beautiful backdrops... phenomenal.",,positive
,Review 37,This is BY FAR the best fighting in the MCU and it's not even close,,positive
,Review 38,"I loved the first major fight scene so much that i was worried it would be the best one of the movie, far too early. Lol. I be stupid sometimes",,positive
,Review 39,frequent flaw in the MCU is lack of compelling villain,,positive
,Review 40,"One of my frequent complaints is that the musical scores, with some exceptions, don't stand out",,Negative
,Review 41,It's not as amazing as the Loki score but i liked it,,neutral
,Review 42," I loved all the characters, i loved all the casting choices, i loved the performances. ",,positive
,Review 43,There are scenes of dialogue that gave me goosebumps. ,,positive
,Review 44,All the emotional moments hit. All the callbacks hit. There isn't anything that didn't work for me.,,positive
,Review 45,"It's also nice to see well-written comedy with jokes relevant to the scene and characters, that feels organic.",,positive
,Review 46,Definitely doesn't feel like a typical MCU movie. It has it's own unique tone and feel and character.,,positive
,Review 47," i have this thing where i get goosebumps and start tearing up, not from an emotional moment, but from a scene being so incredible, especially action scenes.",,positive
,Review 48,this is the coolest thing i've ever seen in my life.,,positive
,Review 49,"after endgame finished phase 3 (yes i know spider-man), i was so happy and satisfied with the MCU. But i wasn't sure they could ever recapture that magic again",,positive
,Review 50,Shang Chi was nowhere near the top of my most anticipated MCU films over the years but it just about surprised me more than any of their films to date,,positive
,Review 51,"Loaded with pulse pounding action (most in camera for once), a friendship turned possible romance you genuinely care about What an absolutely brilliant work of art.",,positive
,Review 52,"I wasn't realy hooked up, jokes seemed to be outdated",,negative
,Review 53,"With no real concept of the character or the story, I didn't really know what to expect from Shang-Chi and the Legend of the Ten Rings",,neutral
,Review 54,some scenes were too rushed,,negative
,Review 55,I was pleasantly surprised. This Marvel action film is above average,,positive
,Review 56,"It features impressive visuals, engaging action scenes, and entertaining characters.",,positive
,Review 57,There are some missing pieces in the story,,negative
,Review 58, I enjoyed this introduction to a new MCU superhero,,positive
,Review 59,It's a nice throwback to the older Marvel films and a good way to satisfy the fans. I like how there's two people of the same gender who are not love interests.,,positive
,Review 60,"I liked visuals but that's it, I expected more from Marvel.",,neutral
,Review 61,We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie,,positive
,Review 62,My only complaint is that it is a bit too long.,,negative
,Review 63, It's amazing with gorgeous designs of the creatures.,,positive
,Review 64,It truly is a unique film to have a mostly all-Asian cast in a superhero movie.,,positive
,Review 65,I have to admit that I had my doubts about this movie but I was proven very wrong since it's an amazing movie.,,positive
,Review 66,"For one more time Marvel succeeded on creating a nice atmosphere and connecting the previous movies with this one with many Easter Eggs so, we expect more in the near future",,neutral
,Review 67,The comic relief role of Ben Kingsley as Trevor Slattery was a brilliant idea that also gave something different in the movie,,positive
,Review 68,The interpretation of Simu Liu who played as Shaun / Shang-Chi was simply outstanding and he made the difference,,positive
,Review 69," I have to say that ""Shang-Chi and the Legend of the Ten Rings"" is an amazing movie and I strongly recommend everyone to watch it, especially the fans of Marvel.",,positive
,Review 70, I will say i enjoyed this more than the previous mcu film Black Widow.,,positive
,Review 71,Shang Chi introduces a new mcu character played by Simu Liu. And Awkwafina which is also a fun addition,,positive
,Review 72, The film does give an emotional story build up and a villain that can be relatable.,,positive
,Review 73,"The cast ensemble is great. Simu Liu did great with the character along with Awkwafina as his friend. Meng'er Zhang, Michelle Yeoh, Benedict Wong, Florian Munteanu, and Tong Leung all did great.",,positive
,Review 74,The set designs and visual effects are stunning and great.,,positive
,Review 75,Can be colorful at moments.,,neutral
,Review 76,The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography.,,positive
,Review 77,Director did a great job in capturing the action and fight sequences. Even with the epic climax of the dragon battle.,,positive
,Review 78,There are two mid and post credit scene which sets up for further films and has a fun nod to the mcu.,,positive
,Review 79,"It has breathtaking visuals and outstanding performances, but many dinged the film for its exposition. ",,positive
,Review 80,Most notably for the film is the exciting use of hand to hand combat that is delivered spectacularly in two stand out sequences on board a moving bus and then bettered alongside a high rise building in Macau,,positive
,Review 81,MCEU's new phase never looked so promising but their products are delivering Better than expected,,positive
,Review 82,Shang-Chi is a new start by all means. Not only because it comes under new phase but mainly because it is a stand-alone film and with a new superhero who is more like using traditional combat methods along with ancient superpowers.,,positive
,Review 83, I will say i enjoyed this more than the previous mcu film Black Widow.,,positive
,Review 84,"The movie relies heavily on computer graphics to tell its story, and their reception by those who have seen the movie has not quite been quite so glowing.",,negative
,Review 85,Few scenes are outdated and too dramatic as if we are watching a Superhero Film made in 90s but let's just forget those weak points as Shang Chi has excelled in Visual spectacle,,neutral
,Review 86,The humour and tone of these characters was great.,,positive
,Review 87,The storyline for this movie is way better than it should be and has crazy depth around all of the characters,,positive
,Review 88,"There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.",,positive
,Review 89,"while it features some incredible imagery and technical wizardry, the films rip-roaring start and strong middle section gives way too something lesser.",,negative
,Review 90,"Director Destin Daniel Cretton seemed slightly off track in the beginning when he tries to humanise all the characters with that typically teenage humor but as the film goes ahead, he recovers from the childish entanglement",,neutral
,Review 91,Shang Chi is another superb entertainer for Marvel Fanboys and even neutrals are gonna enjoy it.,,positive
,Review 92,"Action great (except cacophonous dragon fight), acting decent, visuals good, story predictable",,positive
,Review 93,The screenplay could have been better in the second half when the big War was supposed to take place but it actually looks tiny one,,negative
,Review 94,It's the perfect balance of humour and action that Marvel have established over the last few years,,positive
,Review 95,I like this film's style most of all,,positive
,Review 96,"There's a surprising amount of callbacks and nods to the larger Marvel universe, pleasing dedicated fans, but the film is still able to stand on its own feet and introduce us to its hero.",,neutral
,Review 97,"Kudos also to the whole filming for these action scenes. Very little shaky cam or jump cuts, especially for the hand to hand scenes.",,positive
,Review 98,"The action too is tweaked slightly, to more closely resemble the types of Asian led action films that we've seen previously",,negative
,Review 99,"One of the most thrilling and visually spectacular end battles as well, come to think of it.",,positive
,Review 100,"the acting is solid, especially from Liu, Leung and Awkwafina",,positive
,Review 101,It was better than the proceeding Marvel movie Black Window. More exceeding the expectations of a Marvel movie.,,positive
,Review 102,The special effects were good in this flick,,positive
,Review 103,I was impress with what was used to make the final conflict and I was convince that the dude from Kim's Convenience was a master of kung fu,,positive
,Review 104,It's not perfect. The ending is perhaps a little rushed and lacking a moment or two of redemption ,,negative
,Review 105,"movie has unique choreography, a dazzling visual scheme, splendid hand-to-hand combat",,positive
,Review 106,The storyline for this movie is way better than it should be and has crazy depth around all of the characters,,positive
,Review 107,The acting is outstanding and the characters are perfectly portrayed.,,positive
,Review 108,The special effects are awesome both in terms of the action scenes and backdrops.,,positive
,Review 109,Its a good movie but it did not live up to my high expectations of it,,negative
,Review 110,The dragons may have been a bit overdone,,negative
,Review 111,This movie is way better than it should be and is a worthwhile addition to the marvel universe.,,positive
,Review 112,Bringing martial arts into this franchise is well.... a breath of fresh air from Marvel.,,positive
,Review 113,Showcasing a series of excellent action sequences. There are some very intelligent minds be hide this origin story fantasy sci-fi feature.,,positive
,Review 114,Shang-Chi and the Legend of the Ten Rings is one of the best MCU films.,,positive
,Review 115,It gave me a lot of cool things but really did not give me anything I did not see before,,neutral
,Review 116,"The visuals were absolutely stunning, comedic relief was always on point, fight sequences were sleek yet powerful.",,positive
,Review 117,"The story arch is well paced and unfolds gradually so one can get emotionally involved with the films characters , the acting is superb on all fronts from the films talented ensemble ",,positive
,Review 118,Shang-Chi and the Legend of the Tens Rings is easily at the top of the origin films that this franchise has given us and one of my favorite entries as a whole. You'll leave the theater satisfied.,,positive
,Review 119,"The story is at its strongest when it focuses on the family issues between the characters, in particular Shang-Chi and Wenwu",,positive
,Review 120,"The script is okay, the drama is really well done and made me care about these characters and the emotional predicaments that they are put in during this adventure",,neutral
,Review 121,Some of the humor is strained,,negative
,Review 122,"The film looks fantastic, the CGI is all beautiful and I think it does an excellent job of building this world of Martial arts that is very different to other elements of the MCU.",,positive
,Review 123,The fight scenes live up to the hype and are the best that have been seen in The Marvel Cinematic Universe,,positive
,Review 124,The issue is that the film kind of strays away from that and tries to focus on too much.,,negative
,Review 125, the flow so well and are so hard hitting that it is easily the best element of the film.,,positive
,Review 126, Shang-Chi and The Legend of The Ten Rings is a great film and another solid addition to The Marvel Cinematic Universe.,,positive
,Review 127,It isn't top tier Marvel but does a great job of introducing a new hero in Shang-Chi.,,neutral
,Review 128,"some of the more elaborate action set pieces lack needed tension, much of the exposition and backstory isn't very engaging",,negative
,Review 129,Wonderful action packed fantasy adventure is brilliantly bought to life by a great cast and some great action sequences including some staggeringly beautiful fantasy scenes.,,positive
,Review 130,Extraordinary how this almost child like fantasy film can so successfully bridge a chase scene across modern day San Francisco with battles with dragons whilst maintaining a goodly degree of drama snd humour. Huge fun.,,positive
,Review 131,"While the movie follows the usual stereotypes, it manages to stand out with its stunning special effects and locations.",,positive
,Review 132,The expensive special effects certainly deliver the goods as well.,,positive
,Review 133,It has plenty of exposition scenes and fits so much in that it distracts from the main thing that makes this film great,,positive
,Review 134,"The scenes in a fantasy world, in Ancient China and in contemporary San Francisco are all equally stunning to watch.",,positive
,Review 135,The fantastic creatures such as dragons look impressive on the big screen,,positive
,Review 136,The story might be predictable but is nevertheless entertaining from start to finish thanks to steady pace and inspired execution.,,neutral
,Review 137,lead actor Simu Liu simply doesn't have the charisma of the other actresses and actors involved.,,negative
,Review 138,the movie desperately tries to connect to other characters in the Marvel Universe.,,negative
,Review 139,until the third act many of the emotional aspects of the narrative aren't as rich or compelling as they could be,,negative
,Review 140,The appearance of Trevor Slattery played by Ben Kingsley is completely random as it only seems to be a pretext to offer some misplaced comic relief,,positive
,Review 141,It's one of the better films in the franchise but perhaps Marvel should focus on quality over quantity instead of becoming a monstrous capitalistic machine that is scarier than any gigantic dragon shown in the film.,,positive
,Review 142,I actually think this film is held back a little bit by the fact that it is in the MCU,,negative
,Review 143,Charming and incredibly fun- Shang-Chi may not be the best Marvel has had to offer- but it is one of their better films in some time,,positive
,Review 144, I found it to be mostly a rehash of things I've seen before,,negative
,Review 145,"The action scenes are absolutely incredible, the look of the film incredibly well developed- something very fresh and original ",,positive
,Review 146,"The film is entertaining, despite the pacing of the film being a bit all over the place at times",,positive
,Review 147," It has some brilliant, elaborate special effects that you will be gawking at on the screen, and plenty of surprises that will be bound to make you smile.",,positive
,Review 148,Shang-Chi was a fun time for a Marvel movie- something most comic-book flicks have forgotten about recently- and i'm excited what this character has to offer in future films.,,positive
,Review 149,it has the humour you come to expect from the universe is here but it is done poorly and I never really laughed at all and that was a disappointment.,,positive
,Review 150, the film still manages to be very enjoyable throughout,,positive
,Review 151,". It has some brilliant, elaborate special effects that you will be gawking at on the screen, and plenty of surprises that will be bound to make you smile.",,positive
,Review 152, It's definitely the best thing in phase 4 so far even if it's third act has some of the usual MCU problems.,,positive
,Review 153,the editing makes it feel rather out of place at times- and takes away from the impact the film could have had and its heart.,,positive
,Review 154,it's extremely well filmed and stylish with some of the best action sequences in the franchise,,positive
,Review 155,The fight choreography is extremely impressive and the CG is mostly strong. ,,positive
,Review 156,It's well paced and both the soundtrack and the music by Joel P. West are both fantastic.,,positive
,Review 157,"The movie is pretty good in most ways, but Akwafina's character is just... annoying. Sorry I didn't like her in this",,neutral
,Review 158,Shang Chi has a lot of things built into the tale as it tries to make an origin story fit so far into the movie series,,positive
,Review 159,"With all the information, there might be worry of the pace being off, but surprisingly it is done super well",,positive
,Review 160,"Never really dragging, but not moving a blinding pace (mostly), Shang Chi's combination tales keeps things moving but not flying over the important elements to connect with characters",,positive
,Review 161,"The cast gets ample time to give us their backstories, piece together all the cluse of this dynamic drama puzzle, and not sacrifice on the action to come.",,positive
,Review 162," The trailers may have you thinking this is a modern martial arts film, and in a sense they would be right",,positive
,Review 163,"Shang's life is complicated and torn between light and dark, his sister as well experiencing the drama in her own manner that parallels the main protagonist.",,positive
,Review 164,I loved how well their lines mixed together to make this melodramatic family story fit naturally into the Marvel universe.,,positive
,Review 165,Shan Chi and the bunch have plenty of amazing things to overuse the computer effects that the modern era loves.,,positive
,Review 166,"Special effects for the action scenes has more realism to it then Black Widow executed, the creatures you will see have a lot more polish and fluidity to their movements",,positive
,Review 167,"A great part played by all members on this film, extras included, Shang Chi's cast shows that acting is not dead and characters can be utilized well",,positive
